headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes
障礙,障害/妨げ,ㄓㄢˋ ㄍㄞˋ,zhàngài,名詞,5,common,ai,word,,
著急,焦る/心配する,ㄓㄠ ㄐㄧˊ,zhāojí,状態動詞(形容詞),5,common,ai,word,,原表記: 著(ㄓㄠ)急
招待,もてなす/接待する,ㄓㄠ ㄉㄞˋ,zhāodài,動詞,5,common,ai,word,,
招牌,看板/評判,ㄓㄠ ㄆㄞˊ,zhāopái,名詞,5,common,ai,word,,
找錢,お釣りを渡す,ㄓㄠˇ ㄑㄧㄢˊ,zhǎoqián,離合動詞,5,common,ai,word,,
照,照らす/〜に従って,ㄓㄠˋ / ㄓㄠˋ,zhào / zhào,動詞/介詞(前置詞)/副詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
炸,揚げる / 揚げる/爆発する,ㄓㄚˊ / ㄓㄚˋ,zhá / zhà,動詞,4,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
珍貴,貴重な,ㄓㄣ ㄍㄨㄟˋ,zhēnguì,状態動詞(形容詞),5,common,ai,word,,
真實,真実の,ㄓㄣ ㄕˊ,zhēnshí,状態動詞(形容詞),5,common,ai,word,,
真是,本当に/まったく,ㄓㄣ ㄕˋ,zhēnshì,副詞,5,common,ai,word,,
真心,誠実/真心,ㄓㄣ ㄒㄧㄣ / ㄓㄣ ㄒㄧㄣ,zhēnxīn / zhēnxīn,状態動詞(形容詞)/名詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
真正,真の/本当の,ㄓㄣ ㄓㄥˋ,zhēnzhèng,副詞/状態動詞(連体用),5,common,ai,word,,
整理,整理する/片付ける,ㄓㄥˇ ㄌㄧˇ,zhěnglǐ,動詞,5,common,ai,word,,
整齊,整った/きちんとした,ㄓㄥˇ ㄑㄧˊ,zhěngqí,状態動詞(形容詞),5,common,ai,word,,
證明,証明する/証明書,ㄓㄥˋ ㄇㄧㄥˊ / ㄓㄥˋ ㄇㄧㄥˊ,zhèngmíng / zhèngmíng,動詞/名詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
正確,正しい,ㄓㄥˋ ㄑㄩㄝˋ,zhèngquè,状態動詞(形容詞),5,common,ai,word,,
證書,証明書/免許状,ㄓㄥˋ ㄕㄨ,zhèngshū,名詞,5,common,ai,word,,
哲學,哲学,ㄓㄜˊ ㄒㄩㄝˊ,zhéxué,名詞,5,common,ai,word,,
這樣子,このような,ㄓㄜˋ ㄧㄤˋ ˙ㄗ,zhèyàngzi,状態動詞(形容詞)/副詞,5,common,ai,word,,
中部,中部/中央部,ㄓㄨㄥ ㄅㄨˋ,zhōngbù,名詞,5,common,ai,word,,
中餐,中華料理,ㄓㄨㄥ ㄘㄢ,zhōngcān,名詞,5,common,ai,word,,
終於,ついに/ようやく,ㄓㄨㄥ ㄩˊ,zhōngyú,副詞,5,common,ai,word,,
種,〜種類 / 植える,ㄓㄨㄥˇ / ㄓㄨㄥˋ,zhǒng / zhòng,動詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
重點,重点/要点,ㄓㄨㄥˋ ㄉㄧㄢˇ,zhòngdiǎn,名詞,5,common,ai,word,,
重視,重視する,ㄓㄨㄥˋ ㄕˋ,zhòngshì,状態動詞,5,common,ai,word,,
周圍,周囲,ㄓㄡ ㄨㄟˊ,zhōuwéi,名詞,5,common,ai,word,,
煮,煮る/茹でる,ㄓㄨˇ,zhǔ,動詞,5,common,ai,word,,
主動,自発的な/進んで行う,ㄓㄨˇ ㄉㄨㄥˋ,zhǔdòng,状態動詞(形容詞),5,common,ai,word,,
主管,管理する/責任者,ㄓㄨˇ ㄍㄨㄢˇ / ㄓㄨˇ ㄍㄨㄢˇ,zhǔguǎn / zhǔguǎn,名詞/動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
主任,主任/長,ㄓㄨˇ ㄖㄣˋ,zhǔrèn,名詞,5,common,ai,word,,
主題,テーマ/主題,ㄓㄨˇ ㄊㄧˊ,zhǔtí,名詞,5,common,ai,word,,
主要,主要な,ㄓㄨˇ ㄧㄠˋ,zhǔyào,副詞/状態動詞(連体用),5,common,ai,word,,
主意,考え/決心,ㄓㄨˇ ㄧˋ,zhǔyì,名詞,5,common,ai,word,,
助,助ける,ㄓㄨˋ,zhù,動詞,5,common,ai,word,,
祝福,祝福する/幸福を祈る,ㄓㄨˋ ㄈㄨˊ,zhùfú,名詞/動詞,5,common,ai,word,,
助理,アシスタント/助手,ㄓㄨˋ ㄌㄧˇ,zhùlǐ,名詞,5,common,ai,word,,
著名,有名な,ㄓㄨˋ ㄇㄧㄥˊ,zhùmíng,状態動詞(形容詞),5,common,ai,word,,
狀態,状態,ㄓㄨㄤˋ ㄊㄞˋ,zhuàngtài,名詞,5,common,ai,word,,
專心,集中する,ㄓㄨㄢ ㄒㄧㄣ,zhuānxīn,状態動詞(形容詞),5,common,ai,word,,
專業,専門的な/専攻,ㄓㄨㄢ ㄧㄝˋ / ㄓㄨㄢ ㄧㄝˋ,zhuānyè / zhuānyè,状態動詞(連体用)/名詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
追求,追求する/追い求める,ㄓㄨㄟ ㄑㄧㄡˊ,zhuīqiú,動詞,5,common,ai,word,,
準時,時間通りの,ㄓㄨㄣˇ ㄕˊ,zhǔnshí,状態動詞(形容詞),5,common,ai,word,,
著,〜している/〜したままだ(持続) / 手/策/触れる,˙ㄓㄜ / ㄓㄨㄛˊ,zhe / zhuó,動詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
仔細,注意深い/慎重な,ㄗˇ ㄒㄧˋ,zǐxì,状態動詞(形容詞),5,common,ai,word,,
自從,～以来,ㄗˋ ㄘㄨㄥˊ,zìcóng,介詞(前置詞),5,common,ai,word,,
自動,自動の/自発的な,ㄗˋ ㄉㄨㄥˋ,zìdòng,状態動詞(形容詞),5,common,ai,word,,
自殺,自殺する,ㄗˋ ㄕㄚ,zìshā,自動詞,5,common,ai,word,,
自信,自信がある/自信,ㄗˋ ㄒㄧㄣˋ / ㄗˋ ㄒㄧㄣˋ,zìxìn / zìxìn,名詞/状態動詞(形容詞),5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
自在,気楽な/くつろいだ,ㄗˋ ㄗㄞˋ,zìzài,状態動詞(形容詞),5,common,ai,word,,
總而言之,要するに,zㄛˇnㄍㄜˊ ˙ㄦ ㄧㄢˊ ㄓ,zǒngéryánzhī,接続詞,5,common,ai,word,,
總算,ようやく/どうにか,ㄗㄨㄥˇ ㄙㄨㄢˋ,zǒngsuàn,副詞,5,common,ai,word,,
總統,大統領,ㄗㄨㄥˇ ㄊㄨㄥˇ,zǒngtǒng,名詞,5,common,ai,word,,
總之,要するに/つまり,ㄗㄨㄥˇ ㄓ,zǒngzhī,接続詞,5,common,ai,word,,
走走,ぶらぶらする/少し歩く,ㄗㄡˇ ㄗㄡˇ,zǒuzǒu,自動詞,5,common,ai,word,,
組,組/編成する,ㄗㄨˇ / ㄗㄨˇ,zǔ / zǔ,量詞/動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
祖父,父方の祖父,ㄗㄨˇ ㄈㄨˋ,zǔfù,名詞,5,common,ai,word,,
祖母,父方の祖母,ㄗㄨˇ ㄇㄨˇ,zǔmǔ,名詞,5,common,ai,word,,
祖先,先祖,ㄗㄨˇ ㄒㄧㄢ,zǔxiān,名詞,5,common,ai,word,,
醉,酔う,ㄗㄨㄟˋ,zuì,変化動詞,5,common,ai,word,,
最多,最大/多くとも,ㄗㄨㄟˋ ㄉㄨㄛ,zuìduō,副詞,5,common,ai,word,,
最佳,最良の/最適な,ㄗㄨㄟˋ ㄐㄧㄚ,zuìjiā,状態動詞(連体用),5,common,ai,word,,
尊敬,尊敬する/敬意を表す,ㄗㄨㄣ ㄐㄧㄥˋ,zūnjìng,状態動詞,5,common,ai,word,,
作,行う/作る/気難しい,ㄗㄨㄛˋ,zuò,動詞,5,common,ai,word,,
做夢,夢を見る,ㄗㄨㄛˋ ㄇㄥˋ,zuòmèng,離合動詞,5,common,ai,word,,原表記: 做夢/作夢
做人,人として振る舞う,ㄗㄨㄛˋ ㄖㄣˊ,zuòrén,自動詞,5,common,ai,word,,
做事,仕事をする,ㄗㄨㄛˋ ㄕˋ,zuòshì,自動詞,5,common,ai,word,,
愛好,趣味/好む,ㄞˋ ㄏㄠˋ,àihào,名詞/状態動詞,6,common,ai,word,,
愛護,大切にする/愛護する,ㄞˋ ㄏㄨˋ,àihù,状態動詞,6,common,ai,word,,
愛人,配偶者/恋人,ㄞˋ ㄖㄣˊ,àirén,名詞,6,common,ai,word,,
哎呀,あら！/おや！,ㄞ ㄧㄚ,āiyā,助詞,6,common,ai,word,,
哎喲,痛っ！/おっと！,ㄞ ㄧㄠ,āiyāo,助詞,6,common,ai,word,,
癌症,がん,ㄞˊ ㄓㄥˋ,áizhèng/ái,名詞,6,common,ai,word,,原表記: 癌症/癌
暗,暗い/秘密の,ㄢˋ,àn,状態動詞(形容詞),6,common,ai,word,,
案,事件/案件,ㄢˋ(ㄗ˙),àn(zi),名詞,6,common,ai,word,,原表記: 案(子)
骯髒,汚い/卑劣な,ㄤ ㄗㄤ,āngzāng,状態動詞(形容詞),6,common,ai,word,,
按時,時間通りに,ㄢˋ ㄕˊ,ànshí,副詞,6,common,ai,word,,
安慰,慰める,ㄢ ㄨㄟˋ,ānwèi,動詞,6,common,ai,word,,
暗中,ひそかに/内密に,ㄢˋ ㄓㄨㄥ,ànzhōng,副詞,6,common,ai,word,,
安裝,取り付ける/設置する,ㄢ ㄓㄨㄤ,ānzhuāng,動詞,6,common,ai,word,,
熬,煮込む/耐え抜く,ㄠˊ,áo,動詞,6,common,ai,word,,
拔,引き抜く,ㄅㄚˊ,bá,動詞,6,common,ai,word,,
罷工,ストライキをする,ㄅㄚˋ ㄍㄨㄥ,bàgōng,自動詞,6,common,ai,word,,
敗,負ける/損なう,ㄅㄞˋ,bài,変化動詞,6,common,ai,word,,
拜,拝む/挨拶する,ㄅㄞˋ,bài,動詞,6,common,ai,word,,
拜拜,バイバイ/拝礼する,ㄅㄞˋ ㄅㄞˋ,bàibài,自動詞,6,common,ai,word,,
拜訪,訪問する,ㄅㄞˋ ㄈㄤˇ,bàifǎng,動詞,6,common,ai,word,,
拜年,新年の挨拶をする,ㄅㄞˋ ㄋㄧㄢˊ,bàinián,離合動詞,6,common,ai,word,,
拜託,頼む/お願いします,ㄅㄞˋ ㄊㄨㄛ,bàituō,動詞,6,common,ai,word,,
擺脫,脱却する/振り払う,ㄅㄞˇ ㄊㄨㄛ,bǎituō,動詞,6,common,ai,word,,
罷了,～にすぎない,ㄅㄚˋ ˙ㄌㄜ,bàle,助詞,6,common,ai,word,,
拌,混ぜる/和える,ㄅㄢˋ,bàn,動詞,6,common,ai,word,,
般,種類/様式,ㄅㄢ,bān,,6,common,ai,word,,
磅,はかり/ポンド,ㄅㄤˋ,bàng,量詞,6,common,ai,word,,
棒,すごい/素晴らしい / 棒/素晴らしい,ㄅㄤˋ / ㄅㄤˋ,bàng / bàng,量詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
辦公,執務する,ㄅㄢˋ ㄍㄨㄥ,bàngōng,自動詞,6,common,ai,word,,
傍晚,夕方,ㄅㄤ ㄨㄢˇ,bāngwǎn,名詞,6,common,ai,word,,
半路,途中,ㄅㄢˋ ㄌㄨˋ,bànlù,名詞,6,common,ai,word,,
辦事,用事を済ませる/仕事をする,ㄅㄢˋ ㄕˋ,bànshì,自動詞,6,common,ai,word,,
半數,半分,ㄅㄢˋ ㄕㄨˋ,bànshù,限定詞,6,common,ai,word,,
扮演,役を演じる,ㄅㄢˋ ㄧㄢˇ,bànyǎn,動詞,6,common,ai,word,,
搬運,運搬する,ㄅㄢ ㄩㄣˋ,bānyùn,動詞,6,common,ai,word,,
班長,班長/リーダー,ㄅㄢ ㄓㄤˇ,bānzhǎng,名詞,6,common,ai,word,,
報,報告する/申し込む,ㄅㄠˋ,bào,動詞,6,common,ai,word,,
保,守る/保護する,ㄅㄠˇ,bǎo,動詞,6,common,ai,word,,
寶,宝物,ㄅㄠˇ,bǎo,名詞,6,common,ai,word,,
寶寶,赤ちゃん/愛しい人,ㄅㄠˇ ˙ㄅㄠ,bǎobao,名詞,6,common,ai,word,,
保持,保つ/維持する,ㄅㄠˇ ㄔˊ,bǎochí,動詞,6,common,ai,word,,
報仇,復讐する,ㄅㄠˋ ㄔㄡˊ,bàochóu,離合動詞,6,common,ai,word,,
保存,保存する/保管する,ㄅㄠˇ ㄘㄨㄣˊ,bǎocún,動詞,6,common,ai,word,,
報答,恩返しする,ㄅㄠˋ ㄉㄚˊ,bàodá,変化動詞,6,common,ai,word,,
報到,受付をする/出勤報告する,ㄅㄠˋ ㄉㄠˋ,bàodào,自動詞,6,common,ai,word,,
報導,報道する/ニュース,ㄅㄠˋ ㄉㄠˇ,bàodǎo,動詞/名詞,6,common,ai,word,,
包裹,包む/小包,ㄅㄠ ㄍㄨㄛˇ,bāoguǒ,名詞,6,common,ai,word,,
報警,通報する,ㄅㄠˋ ㄐㄧㄥˇ,bàojǐng,離合動詞,6,common,ai,word,,
暴力,暴力/暴力的な,ㄅㄠˋ ㄌㄧˋ,bàolì,名詞/状態動詞(形容詞),6,common,ai,word,,
保留,残す/保留する,ㄅㄠˇ ㄌㄧㄡˊ,bǎoliú,動詞,6,common,ai,word,,
抱歉,申し訳ない,ㄅㄠˋ ㄑㄧㄢˋ,bàoqiàn,状態動詞(形容詞),6,common,ai,word,,
報社,新聞社,ㄅㄠˋ ㄕㄜˋ,bàoshè,名詞,6,common,ai,word,,
保衛,防衛する/守る,ㄅㄠˇ ㄨㄟˋ,bǎowèi,動詞,6,common,ai,word,,
暴躁,短気な/怒りっぽい,ㄅㄠˋ ㄗㄠˋ,bàozào,状態動詞(形容詞),6,common,ai,word,,
爆炸,爆発する,ㄅㄠˋ ㄓㄚˋ,bàozhà,変化動詞,6,common,ai,word,,
保障,保障する/守る,ㄅㄠˇ ㄓㄤˋ,bǎozhàng,名詞/動詞,6,common,ai,word,,
包裝,包装する/梱包,ㄅㄠ ㄓㄨㄤ,bāozhuāng,名詞/動詞,6,common,ai,word,,
備,備える/準備する,ㄅㄟˋ,bèi,動詞,6,common,ai,word,,
被,〜される(受身) / 掛け布団/覆う,ㄅㄟˋ / ㄅㄟˋ(ㄗ˙),bèi / bèi(zi),名詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
背面,裏側/背面,ㄅㄟˋ ㄇㄧㄢˋ,bèimiàn,名詞,6,common,ai,word,,
悲痛,悲痛な/悲しみに満ちた,ㄅㄟ ㄊㄨㄥˋ,bēitòng,状態動詞(形容詞),6,common,ai,word,,
背心,ベスト/チョッキ,ㄅㄟˋ ㄒㄧㄣ,bèixīn,名詞,6,common,ai,word,,
奔,急いで行く/駆けつける,ㄅㄣ,bēn,自動詞,6,common,ai,word,,
本來,もともと/本来 / 本来の/もともと,ㄅㄣˇ ㄌㄞˊ / ㄅㄣˇ ㄌㄞˊ,běnlái / běnlái,状態動詞(連体用),3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
本領,能力/腕前,ㄅㄣˇ ㄌㄧㄥˇ,běnlǐng,名詞,6,common,ai,word,,
奔跑,走る,ㄅㄣ ㄆㄠˇ,bēnpǎo,自動詞,6,common,ai,word,,
本身,それ自体,ㄅㄣˇ ㄕㄣ,běnshēn,名詞,6,common,ai,word,,
本土,地元/現地,ㄅㄣˇ ㄊㄨˇ,běntǔ,名詞,6,common,ai,word,,
笨重,重苦しい/扱いにくい,ㄅㄣˋ ㄓㄨㄥˋ,bènzhòng,状態動詞(形容詞),6,common,ai,word,,
閉,閉じる/閉鎖する,ㄅㄧˋ,bì,自動詞,6,common,ai,word,,
便,便利な/都合の良い,ㄅㄧㄢˋ,biàn,副詞/名詞,6,common,ai,word,,
扁,平らな,ㄅㄧㄢˇ,biǎn,状態動詞(形容詞),6,common,ai,word,,
編,編む/編集する,ㄅㄧㄢ,biān,動詞,6,common,ai,word,,
變動,変動する/変化,ㄅㄧㄢˋ ㄉㄨㄥˋ,biàndòng,名詞/変化動詞,6,common,ai,word,,
便利,便利な,ㄅㄧㄢˋ ㄌㄧˋ,biànlì,状態動詞(形容詞),6,common,ai,word,,
表格,フォーム/表,ㄅㄧㄠˇ ㄍㄜˊ,biǎogé,名詞,6,common,ai,word,,
標題,タイトル/見出し,ㄅㄧㄠ ㄊㄧˊ,biāotí,名詞,6,common,ai,word,,
表揚,褒める/称賛する,ㄅㄧㄠˇ ㄧㄤˊ,biǎoyáng,動詞,6,common,ai,word,,
標誌,標識/シンボル/示す,ㄅㄧㄠ ㄓˋ,biāozhì,名詞,6,common,ai,word,,
彼此,お互い,ㄅㄧˇ ㄘˇ,bǐcǐ,名詞,6,common,ai,word,,
筆記,メモ/記録/随筆,ㄅㄧˇ ㄐㄧˋ,bǐjì,名詞,6,common,ai,word,,
比較,比較的/わりと/比べる / 比較する/比較的,ㄅㄧˇ ㄐㄧㄠˋ / ㄅㄧˇ ㄐㄧㄠˋ,bǐjiào/jiào / bǐjiào,名詞/動詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
比例,比率/割合,ㄅㄧˇ ㄌㄧˋ,bǐlì,名詞,6,common,ai,word,,
並,かつ/さらに,ㄅㄧㄥˋ,bìng,副詞/接続詞,6,common,ai,word,,
丙,丙/3番目,ㄅㄧㄥˇ,bǐng,名詞,6,common,ai,word,,
冰,氷/冷たい / 氷/冷やす,ㄅㄧㄥ / ㄅㄧㄥ,bīng / bīng,状態動詞(形容詞),2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
病毒,ウイルス,ㄅㄧㄥˋ ㄉㄨˊ,bìngdú,名詞,6,common,ai,word,,
病房,病室,ㄅㄧㄥˋ ㄈㄤˊ,bìngfáng,名詞,6,common,ai,word,,
並且,かつ/その上,ㄅㄧㄥˋ ㄑㄧㄝˇ,bìngqiě,接続詞,6,common,ai,word,,
病情,病状,ㄅㄧㄥˋ ㄑㄧㄥˊ,bìngqíng,名詞,6,common,ai,word,,
筆試,筆記試験,ㄅㄧˇ ㄕˋ,bǐshì,名詞/自動詞,6,common,ai,word,,
鼻涕,鼻水,ㄅㄧˊ ㄊㄧˋ,bítì,名詞,6,common,ai,word,,
必須,必ず〜しなければならない / 必須の/しなければならない,ㄅㄧˋ ㄒㄩ / ㄅㄧˋ ㄒㄩ,bìxū / bìxū,状態動詞(連体用),4,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
薄,薄い/冷淡な,ㄅㄛˊ,bó,状態動詞(形容詞),6,common,ai,word,,
撥,押しのける/ダイヤルする/割り当てる,ㄅㄛ,bō,動詞,6,common,ai,word,,
菠菜,ほうれん草,ㄅㄛ ㄘㄞˋ,bōcài,名詞,6,common,ai,word,,
波動,波動/変動する,ㄅㄛ ㄉㄨㄥˋ,bōdòng,自動詞,6,common,ai,word,,
玻璃,ガラス,ㄅㄛ ㄌㄧˊ,bōlí,名詞,6,common,ai,word,,
薄弱,脆弱な/弱い,ㄅㄛˊ ㄖㄨㄛˋ,bóruò,状態動詞(形容詞),6,common,ai,word,,
捕,捕らえる/逮捕する,ㄅㄨˇ,bǔ,動詞,6,common,ai,word,,
補,修理する/補う,ㄅㄨˇ,bǔ,動詞,6,common,ai,word,,
不安,不安な,ㄅㄨˋ ㄢ,bùān,状態動詞(形容詞),6,common,ai,word,,
補償,補償する/埋め合わせる,ㄅㄨˇ ㄔㄤˊ,bǔcháng,動詞,6,common,ai,word,,
不成,だめだ/できない,ㄅㄨˋ ㄔㄥˊ,bùchéng,状態動詞(述語用),6,common,ai,word,,
補充,補充する/補足する,ㄅㄨˇ ㄔㄨㄥ,bǔchōng,動詞,6,common,ai,word,,
不大,あまり〜ない,ㄅㄨˋ ㄉㄚˋ,bùdà,副詞,6,common,ai,word,,
不當,不適切な,ㄅㄨˋ ㄉㄤˋ,bùdàng,状態動詞(形容詞),6,common,ai,word,,
不到,達しない/足りない,ㄅㄨˋ ㄉㄠˋ,bùdào,状態動詞,6,common,ai,word,,
不得已,やむを得ない,ㄅㄨˋ ㄉㄜˊ ㄧˇ,bùdéyǐ,状態動詞(形容詞),6,common,ai,word,,
部隊,部隊/軍隊,ㄅㄨˋ ㄉㄨㄟˋ,bùduì,名詞,6,common,ai,word,,
不敢當,恐縮です/とんでもない,ㄅㄨˋ ㄍㄢˇ ㄉㄤ,bùgǎndāng,状態動詞(形容詞),6,common,ai,word,,
布告,掲示/布告,ㄅㄨˋ ㄍㄠˋ,bùgào,名詞,6,common,ai,word,,原表記: 布告/佈告
布告欄,掲示板,ㄅㄨˋ ㄍㄠˋ ㄌㄢˊ,bùgàolán,名詞,6,common,ai,word,,原表記: 布告欄/佈告欄
不顧,顧みない/構わず,ㄅㄨˋ ㄍㄨˋ,bùgù,状態動詞,6,common,ai,word,,
不見得,必ずしも〜とは限らない,ㄅㄨˋ ㄐㄧㄢˋ ˙ㄉㄜ,bùjiànde,副詞,6,common,ai,word,,
不僅,〜だけでなく,ㄅㄨˋ ㄐㄧㄣˇ,bùjǐn,接続詞,6,common,ai,word,,
補課,補習を受ける,ㄅㄨˇ ㄎㄜˋ,bǔkè,離合動詞,6,common,ai,word,,
不良,不良の/有害な,ㄅㄨˋ ㄌㄧㄤˊ,bùliáng,状態動詞(形容詞),6,common,ai,word,,
不平,不公平な/不満,ㄅㄨˋ ㄆㄧㄥˊ,bùpíng,状態動詞(形容詞),6,common,ai,word,,
不然,さもなければ,ㄅㄨˋ ㄖㄢˊ,bùrán,接続詞,6,common,ai,word,,
補習,補習する,ㄅㄨˇ ㄒㄧˊ,bǔxí,離合動詞,6,common,ai,word,,
補習班,塾/予備校,ㄅㄨˇ ㄒㄧˊ ㄅㄢ,bǔxíbān,名詞,6,common,ai,word,,
不許,許可しない/禁止する,ㄅㄨˋ ㄒㄩˇ,bùxǔ,副詞,6,common,ai,word,,
不宜,不適切な/好ましくない,ㄅㄨˋ ㄧˊ,bùyí,状態動詞(形容詞),6,common,ai,word,,
不由得,思わず/〜せずにはいられない,ㄅㄨˋ ㄧㄡˊ ˙ㄉㄜ,bùyóude,副詞,6,common,ai,word,,
部長,部長/長官,ㄅㄨˋ ㄓㄤˇ,bùzhǎng,名詞,6,common,ai,word,,
不止,絶え間ない/〜にとどまらない,ㄅㄨˋ ㄓˇ,bùzhǐ,状態動詞(述語用),6,common,ai,word,,
補助,補助する/手当,ㄅㄨˇ ㄓㄨˋ,bǔzhù,名詞/動詞,6,common,ai,word,,
踩,踏む,ㄘㄞˇ,cǎi,動詞,6,common,ai,word,,
採,摘む/集める,ㄘㄞˇ,cǎi,動詞,6,common,ai,word,,
財產,財産/資産,ㄘㄞˊ ㄔㄢˇ,cáichǎn,名詞,6,common,ai,word,,
財富,富/財産,ㄘㄞˊ ㄈㄨˋ,cáifù,名詞,6,common,ai,word,,
