headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes
載,載せる/運ぶ,ㄗㄞˋ,zài,動詞,6,common,ai,word,,
再度,再び,ㄗㄞˋ ㄉㄨˋ,zàidù,副詞,6,common,ai,word,,
在乎,気にする/こだわる,ㄗㄞˋ ㄏㄨ,zàihū,状態動詞,6,common,ai,word,,
災難,災難/惨事,ㄗㄞ ㄋㄢˋ,zāinàn,名詞,6,common,ai,word,,
再三,何度も/繰り返し,ㄗㄞˋ ㄙㄢ,zàisān,副詞,6,common,ai,word,,
再說,また今度/その上,ㄗㄞˋ ㄕㄨㄛ,zàishuō,接続詞,6,common,ai,word,,
贊成,賛成する,ㄗㄢˋ ㄔㄥˊ,zànchéng,状態動詞,6,common,ai,word,,
葬禮,葬式,ㄗㄤˋ ㄌㄧˇ,zànglǐ,名詞,6,common,ai,word,,
讚美,称賛する/褒める,ㄗㄢˋ ㄇㄟˇ,zànměi,動詞,6,common,ai,word,,
咱們,私たち,ㄗㄢˊ ˙ㄇㄣ,zánmen,名詞,6,common,ai,word,,
贊同,同意する/賛同する,ㄗㄢˋ ㄊㄨㄥˊ,zàntóng,状態動詞,6,common,ai,word,,
造,作る/製造する,ㄗㄠˋ,zào,動詞,6,common,ai,word,,
糟,ひどい/台無しだ,ㄗㄠ,zāo,状態動詞(形容詞),6,common,ai,word,,
早晨,早朝,ㄗㄠˇ ㄔㄣˊ,zǎochén,名詞,6,common,ai,word,,
遭到,遭う/被る,ㄗㄠ ㄉㄠˋ,zāodào,変化動詞,6,common,ai,word,,
糟糕,ひどい/最悪だ,ㄗㄠ ㄍㄠ,zāogāo,状態動詞(形容詞),6,common,ai,word,,
造句,文を作る,ㄗㄠˋ ㄐㄩˋ,zàojù,離合動詞,6,common,ai,word,,
遭受,被る/経験する,ㄗㄠ ㄕㄡˋ,zāoshòu,状態動詞,6,common,ai,word,,
早已,とっくに,ㄗㄠˇ ㄧˇ,zǎoyǐ,副詞,6,common,ai,word,,
遭遇,遭遇する/不遇な体験,ㄗㄠ ㄩˋ / ㄗㄠ ㄩˋ,zāoyù / zāoyù,名詞/状態動詞,6,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
則,すなわち/～だが,ㄗㄜˊ,zé,副詞/量詞,6,common,ai,word,,
怎,どうやって,ㄗㄣˇ,zěn,副詞,6,common,ai,word,,
贈,贈る,ㄗㄥˋ,zèng,動詞,6,common,ai,word,,
贈品,贈り物/景品,ㄗㄥˋ ㄆㄧㄣˇ,zèngpǐn,名詞,6,common,ai,word,,
贈送,贈呈する,ㄗㄥˋ ㄙㄨㄥˋ,zèngsòng,動詞,6,common,ai,word,,
增長,増加する/成長する,ㄗㄥ ㄓㄤˇ,zēngzhǎng,状態動詞,6,common,ai,word,,
窄,狭い,ㄓㄞˇ,zhǎi,状態動詞(形容詞),6,common,ai,word,,
占,占う/占有する,ㄓㄢˋ,zhàn,動詞/状態動詞,6,common,ai,word,,原表記: 占/佔
戰場,戦場,ㄓㄢˋ ㄔㄤˇ,zhànchǎng,名詞,6,common,ai,word,,
展出,展示する,ㄓㄢˇ ㄔㄨ,zhǎnchū,動詞,6,common,ai,word,,
漲,上昇する/膨らむ,ㄓㄤˇ,zhǎng,変化動詞,6,common,ai,word,,
張,〜枚(紙などの量詞) / 開く/広げる/枚,ㄓㄤ / ㄓㄤ,zhāng / zhāng,動詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
章,章/節,ㄓㄤ,zhāng,量詞,6,common,ai,word,,
長輩,年長者/目上の人,ㄓㄤˇ ㄅㄟˋ,zhǎngbèi,名詞,6,common,ai,word,,
帳單,請求書/勘定書,ㄓㄤˋ ㄉㄢ,zhàngdān,名詞,6,common,ai,word,,
丈夫,夫,ㄓㄤˋ ㄈㄨ,zhàngfū,名詞,6,common,ai,word,,
漲價,値上がりする,ㄓㄤˇ ㄐㄧㄚˋ,zhǎngjià,Vp-sep,6,common,ai,word,,
張開,開く/広げる,ㄓㄤ ㄎㄞ,zhāngkāi,動詞,6,common,ai,word,,
掌聲,拍手,ㄓㄤˇ ㄕㄥ,zhǎngshēng,名詞,6,common,ai,word,,
展開,広げる/展開する/開始する,ㄓㄢˇ ㄎㄞ,zhǎnkāi,動詞,6,common,ai,word,,
展覽,展示する/展覧会,ㄓㄢˇ ㄌㄢˇ,zhǎnlǎn,名詞/動詞,6,common,ai,word,,
展示,見せる/展示する,ㄓㄢˇ ㄕˋ,zhǎnshì,動詞,6,common,ai,word,,
占有,占有する/所有する,ㄓㄢˋ ㄧㄡˇ,zhànyǒu,状態動詞,6,common,ai,word,,原表記: 占有/佔有
站住,立ち止まる,ㄓㄢˋ ㄓㄨˋ,zhànzhù,自動詞,6,common,ai,word,,
照常,いつも通り,ㄓㄠˋ ㄔㄤˊ,zhàocháng,状態動詞(形容詞),6,common,ai,word,,
招呼,挨拶する/呼びかける,ㄓㄠ ㄏㄨ,zhāohū,動詞,6,common,ai,word,,
召開,招集する/開催する,ㄓㄠˋ ㄎㄞ,zhàokāi,動詞,6,common,ai,word,,
招手,手を振る/手招きする,ㄓㄠ ㄕㄡˇ,zhāoshǒu,離合動詞,6,common,ai,word,,
折,折る/損をする,ㄓㄜˊ,zhé,動詞,6,common,ai,word,,
者,～する人,ㄓㄜˇ,zhě,名詞,6,common,ai,word,,
折合,換算する/相当する,ㄓㄜˊ ㄏㄜˊ,zhéhé,状態動詞,6,common,ai,word,,
折扣,割引,ㄓㄜˊ ㄎㄡˋ,zhékòu,名詞,6,common,ai,word,,
折磨,苦しめる/悩ませる,ㄓㄜˊ ㄇㄛˊ,zhémó,動詞,6,common,ai,word,,
陣,陣/回/しきり,ㄓㄣˋ,zhèn,量詞,6,common,ai,word,,
針,針/注射,ㄓㄣ,zhēn,名詞,6,common,ai,word,,
震動,振動する/揺さぶる,ㄓㄣˋ ㄉㄨㄥˋ,zhèndòng,自動詞,6,common,ai,word,,
針對,～に向けて/～に対して,ㄓㄣ ㄉㄨㄟˋ,zhēnduì,介詞(前置詞),6,common,ai,word,,
正,ちょうど〜している / まっすぐな/正しい,ㄓㄥˋ / ㄓㄥˋ,zhèng / zhèng,状態動詞(形容詞),4,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
整,まるまる/整った / 全体/まるごと/ちょうど,ㄓㄥˇ / ㄓㄥˇ / ㄓㄥˇ,zhěng / zhěng / zhěng,名詞/状態動詞(形容詞),4,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
爭,争う/競う,ㄓㄥ,zhēng,動詞,6,common,ai,word,,
睜,目を開く,ㄓㄥ,zhēng,動詞,6,common,ai,word,,
政黨,政党,ㄓㄥˋ ㄉㄤˇ,zhèngdǎng,名詞,6,common,ai,word,,
正規,正規の/正式な,ㄓㄥˋ ㄍㄨㄟ,zhèngguī,状態動詞(連体用),6,common,ai,word,,
證件,証明書/身分証,ㄓㄥˋ ㄐㄧㄢˋ,zhèngjiàn,名詞,6,common,ai,word,,
整潔,きちんとした/清潔な,ㄓㄥˇ ㄐㄧㄝˊ,zhěngjié,状態動詞(形容詞),6,common,ai,word,,
正經,まともな/真面目な,ㄓㄥˋ ㄐㄧㄥ,zhèngjīng,状態動詞(形容詞),6,common,ai,word,,
證據,証拠,ㄓㄥˋ ㄐㄩˋ,zhèngjù,名詞,6,common,ai,word,,
爭論,議論する/論争,ㄓㄥ ㄌㄨㄣˋ / ㄓㄥ ㄌㄨㄣˋ,zhēnglùn / zhēnglùn,動詞/名詞,6,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
正面,正面/プラス面,ㄓㄥˋ ㄇㄧㄢˋ / ㄓㄥˋ ㄇㄧㄢˋ,zhèngmiàn / zhèngmiàn,名詞/副詞,6,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
徵求,求める/募集する,ㄓㄥ ㄑㄧㄡˊ,zhēngqiú,動詞,6,common,ai,word,,
爭取,勝ち取る/努力する,ㄓㄥ ㄑㄩˇ,zhēngqǔ,動詞,6,common,ai,word,,
證實,実証する/確認する,ㄓㄥˋ ㄕˊ,zhèngshí,変化動詞,6,common,ai,word,,
整數,整数/端数のない数,ㄓㄥˇ ㄕㄨˋ,zhěngshù,名詞,6,common,ai,word,,
整體,全体/全体像,ㄓㄥˇ ㄊㄧˇ,zhěngtǐ,名詞,6,common,ai,word,,
正月,旧暦一月,ㄓㄥ ㄩㄝˋ,zhēngyuè,名詞,6,common,ai,word,,
症狀,症状,ㄓㄥˋ ㄓㄨㄤˋ,zhèngzhuàng,名詞,6,common,ai,word,,
偵探,探偵/調査する,ㄓㄣ ㄊㄢˋ,zhēntàn,名詞,6,common,ai,word,,
珍惜,大切にする,ㄓㄣ ㄒㄧˊ,zhēnxí,状態動詞,6,common,ai,word,,
珍珠,真珠/涙,ㄓㄣ ㄓㄨ,zhēnzhū,名詞,6,common,ai,word,,
陣子,しばらくの間,ㄓㄣˋ ˙ㄗ,zhènzi,名詞,6,common,ai,word,,
只,〜だけ / ただ/単に,ㄓˇ / ㄓˇ,zhǐ / zhǐ,量詞,1,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
止,止める/禁止する/～まで,ㄓˇ / ㄓˇ,zhǐ / zhǐ,状態動詞(形容詞)/名詞,6,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
值,価値/値する/たまたま,ㄓˊ,zhí,状態動詞,6,common,ai,word,,
擲,投げる/サイコロを振る,ㄓˊ,zhí,動詞,6,common,ai,word,,
治,統治する/管理する,ㄓˋ,zhì,動詞,6,common,ai,word,,
至,到着する/最も/～まで,ㄓˋ / ㄓˋ,zhì / zhì,動詞/接続詞/介詞(前置詞),6,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
之,の（所有）/彼・彼女,ㄓ,zhī,名詞/助詞,6,common,ai,word,,
支持,支持する/応援する,ㄓ ㄔˊ,zhīchí,動詞,6,common,ai,word,,
指出,指摘する/示す,ㄓˇ ㄔㄨ,zhǐchū,変化動詞,6,common,ai,word,,
支出,支出する/経費,ㄓ ㄔㄨ,zhīchū,変化動詞,6,common,ai,word,,
指導,指導する/コーチする,ㄓˇ ㄉㄠˇ,zhǐdǎo,動詞,6,common,ai,word,,
制定,策定する/制定する,ㄓˋ ㄉㄧㄥˋ,zhìdìng,動詞,6,common,ai,word,,原表記: 制定/制訂
指定,指定する/任命する,ㄓˇ ㄉㄧㄥˋ,zhǐdìng,動詞,6,common,ai,word,,
之類,～の類/～など,ㄓ ㄌㄟˋ,zhīlèi,名詞,6,common,ai,word,,
支票,小切手,ㄓ ㄆㄧㄠˋ,zhīpiào,名詞,6,common,ai,word,,
志氣,志/気概,ㄓˋ ㄑㄧˋ,zhìqì,名詞,6,common,ai,word,,
指示,指示/指摘する,ㄓˇ ㄕˋ,zhǐshì,名詞/動詞,6,common,ai,word,,
職位,職位/ポスト,ㄓˊ ㄨㄟˋ,zhíwèi,名詞,6,common,ai,word,,
直線,直線/急激に,ㄓˊ ㄒㄧㄢˋ,zhíxiàn,副詞,6,common,ai,word,,
執行,実行する/遂行する,ㄓˊ ㄒㄧㄥˊ,zhíxíng,動詞,6,common,ai,word,,
秩序,秩序/規律,ㄓˋ ㄒㄩˋ,zhìxù,名詞,6,common,ai,word,,
志願,志望/ボランティアする,ㄓˋ ㄩㄢˋ,zhìyuàn,名詞,6,common,ai,word,,
支援,支援する/援助する,ㄓ ㄩㄢˊ,zhīyuán,動詞,6,common,ai,word,,
製造,製造する/作る,ㄓˋ ㄗㄠˋ,zhìzào/zhì,動詞,6,common,ai,word,,原表記: 製造/製
指責,非難する/責める,ㄓˇ ㄗㄜˊ,zhǐzé,動詞,6,common,ai,word,,
紙張,紙,ㄓˇ ㄓㄤ,zhǐzhāng,名詞,6,common,ai,word,,
制止,制止する/食い止める,ㄓˋ ㄓˇ,zhìzhǐ,動詞,6,common,ai,word,,
製作,製作する/作る,ㄓˋ ㄗㄨㄛˋ,zhìzuò,動詞,6,common,ai,word,,
中,中/真ん中 / 的中する/中国/中,ㄓㄨㄥ / ㄓㄨㄥˋ,zhōng / zhòng,変化動詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
腫,腫れる/腫れ,ㄓㄨㄥˇ,zhǒng,状態動詞(形容詞),6,common,ai,word,,
重大,重大な/重要な,ㄓㄨㄥˋ ㄉㄚˋ,zhòngdà,状態動詞(形容詞),6,common,ai,word,,
中毒,中毒する,ㄓㄨㄥˋ ㄉㄨˊ,zhòngdú,Vp-sep,6,common,ai,word,,
重量,重量/重さ,ㄓㄨㄥˋ ㄌㄧㄤˋ,zhòngliàng,名詞,6,common,ai,word,,
重傷,重傷/重傷を負う,ㄓㄨㄥˋ ㄕㄤ,zhòngshāng,名詞/状態動詞(形容詞),6,common,ai,word,,
中途,途中,ㄓㄨㄥ ㄊㄨˊ,zhōngtú,名詞,6,common,ai,word,,
重心,重心/中心,ㄓㄨㄥˋ ㄒㄧㄣ,zhòngxīn,名詞,6,common,ai,word,,
中央,中央/中心,ㄓㄨㄥ ㄧㄤ,zhōngyāng,名詞,6,common,ai,word,,
中藥,漢方薬,ㄓㄨㄥ ㄧㄠˋ,zhōngyào,名詞,6,common,ai,word,,
種子,種,ㄓㄨㄥˇ ㄗˇ,zhǒngzǐ,名詞,6,common,ai,word,,
種族,人種/民族,ㄓㄨㄥˇ ㄗㄨˊ,zhǒngzú,名詞,6,common,ai,word,,
州,州/地方,ㄓㄡ,zhōu,名詞,6,common,ai,word,,
周,一周する/円,ㄓㄡ,zhōu,量詞,6,common,ai,word,,
粥,おかゆ,ㄓㄡ,zhōu,名詞,6,common,ai,word,,
周到,行き届いた/親切な,ㄓㄡ ㄉㄠˋ,zhōudào,状態動詞(形容詞),6,common,ai,word,,
賺,稼ぐ/だます,ㄓㄨㄢˋ,zhuàn,動詞,6,common,ai,word,,
轉,曲がる/回る / 回る/転換する,ㄓㄨㄢˇ / ㄓㄨㄢˇ,zhuǎn / zhuǎn,動詞/変化動詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
轉變,変化する,ㄓㄨㄢˇ ㄅㄧㄢˋ,zhuǎnbiàn,変化動詞,6,common,ai,word,,
轉播,中継放送する,ㄓㄨㄢˇ ㄅㄛˋ,zhuǎnbò,動詞,6,common,ai,word,,
轉達,伝言する,ㄓㄨㄢˇ ㄉㄚˊ,zhuǎndá,動詞,6,common,ai,word,,
壯,チワン族/強める,ㄓㄨㄤˋ,zhuàng,状態動詞(形容詞),6,common,ai,word,,
撞,ぶつかる,ㄓㄨㄤˋ,zhuàng,動詞,6,common,ai,word,,
轉告,伝言する,ㄓㄨㄢˇ ㄍㄠˋ,zhuǎngào,動詞,6,common,ai,word,,
狀況,状況,ㄓㄨㄤˋ ㄎㄨㄤˋ,zhuàngkuàng,名詞,6,common,ai,word,,
裝飾,装飾する/装飾,ㄓㄨㄤ ㄕˋ,zhuāngshì,動詞,6,common,ai,word,,
轉機,好転/乗り継ぎ,ㄓㄨㄢˇ ㄐㄧ / ㄓㄨㄢˇ ㄐㄧ,zhuǎnjī / zhuǎnjī,自動詞/名詞,6,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
專家,専門家,ㄓㄨㄢ ㄐㄧㄚ,zhuānjiā,名詞,6,common,ai,word,,
專利,特許/独占,ㄓㄨㄢ ㄌㄧˋ,zhuānlì,名詞,6,common,ai,word,,
專門,専門の,ㄓㄨㄢ ㄇㄣˊ,zhuānmén,状態動詞(形容詞),6,common,ai,word,,
專人,担当者,ㄓㄨㄢ ㄖㄣˊ,zhuānrén,名詞,6,common,ai,word,,
轉身,振り返る,ㄓㄨㄢˇ ㄕㄣ,zhuǎnshēn,自動詞,6,common,ai,word,,
轉向,方向転換する/迷う,ㄓㄨㄢˇ ㄒㄧㄤˋ,zhuǎnxiàng,動詞/自動詞,6,common,ai,word,,
主辦,主催する,ㄓㄨˇ ㄅㄢˋ,zhǔbàn,動詞,6,common,ai,word,,
註冊,登録する,ㄓㄨˋ ㄘㄜˋ,zhùcè,離合動詞,6,common,ai,word,,
主持,司会する/管理する,ㄓㄨˇ ㄔˊ,zhǔchí,動詞,6,common,ai,word,,
主觀,主観的な,ㄓㄨˇ ㄍㄨㄢ,zhǔguān,状態動詞(形容詞),6,common,ai,word,,
祝賀,祝う,ㄓㄨˋ ㄏㄜˋ,zhùhè,動詞,6,common,ai,word,,
住戶,居住者,ㄓㄨˋ ㄏㄨˋ,zhùhù,名詞,6,common,ai,word,,
追,彫る/追う,ㄓㄨㄟ,zhuī,動詞,6,common,ai,word,,
逐漸,徐々に,ㄓㄨˊ ㄐㄧㄢˋ,zhújiàn,副詞,6,common,ai,word,,
主角,主役,ㄓㄨˇ ㄐㄩㄝˊ,zhǔjué,名詞,6,common,ai,word,,
准,許可する/準拠する,ㄓㄨㄣˇ,zhǔn,動詞,6,common,ai,word,,
準,正確な/確実に,ㄓㄨㄣˇ / ㄓㄨㄣˇ,zhǔn / zhǔn,状態動詞(形容詞)/副詞,6,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
准考證,受験票,ㄓㄨㄣˇ ㄎㄠˇ ㄓㄥˋ,zhǔnkǎozhèng,名詞,6,common,ai,word,,原表記: 准考證/准考証
準確,正確な,ㄓㄨㄣˇ ㄑㄩㄝˋ,zhǔnquè,状態動詞(形容詞),6,common,ai,word,,
捉,つかむ/捕らえる,ㄓㄨㄛ,zhuō,動詞,6,common,ai,word,,
桌,机/テーブル / テーブル,ㄓㄨㄛ(ㄗ˙) / ㄓㄨㄛ,zhuō(zi) / zhuō,量詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
注射,注射する,ㄓㄨˋ ㄕㄜˋ,zhùshè,動詞,6,common,ai,word,,
主席,議長/主席,ㄓㄨˇ ㄒㄧˊ,zhǔxí,名詞,6,common,ai,word,,
住院,入院する,ㄓㄨˋ ㄩㄢˋ,zhùyuàn,離合動詞,6,common,ai,word,,
主張,主張する/見解,ㄓㄨˇ ㄓㄤ,zhǔzhāng,名詞/動詞,6,common,ai,word,,
紫,紫色の,ㄗˇ,zǐ,状態動詞(連体用),6,common,ai,word,,
自來水,水道水,ㄗˋ ㄌㄞˊ ㄕㄨㄟˇ,zìláishuǐ,名詞,6,common,ai,word,,
字母,文字,ㄗˋ ㄇㄨˇ,zìmǔ,名詞,6,common,ai,word,,
子女,子供,ㄗˇ ㄋㄩˇ,zǐnǚ,名詞,6,common,ai,word,,
自然,自然/自然だ / 自然/当然,ㄗˋ ㄖㄢˊ / ㄗˋ ㄖㄢˊ / ㄗˋ ㄖㄢˊ,zìrán / zìrán / zìrán,名詞/副詞,4,common,ai,word,,多音字/多義語: 複数の発音・意味を統合
自私,利己的な,ㄗˋ ㄙ,zìsī,状態動詞(形容詞),6,common,ai,word,,
自我,自己,ㄗˋ ㄨㄛˇ,zìwǒ,名詞,6,common,ai,word,,
資訊,情報,ㄗ ㄒㄩㄣˋ,zīxùn,名詞,6,common,ai,word,,
自願,自発的/進んで行う,ㄗˋ ㄩㄢˋ,zìyuàn,状態動詞(形容詞),6,common,ai,word,,
自主,自主的/自立した,ㄗˋ ㄓㄨˇ,zìzhǔ,状態動詞(形容詞),6,common,ai,word,,
總共,合計で/全部で,ㄗㄨㄥˇ ㄍㄨㄥˋ,zǒnggòng,副詞,6,common,ai,word,,
綜合,総合的な/統合した,ㄗㄨㄥˋ ㄏㄜˊ,zònghé,動詞/状態動詞(連体用),6,common,ai,word,,
總理,首相/総理大臣,ㄗㄨㄥˇ ㄌㄧˇ,zǒnglǐ,名詞,6,common,ai,word,,
走道,歩道/通路,ㄗㄡˇ ㄉㄠˋ,zǒudào,名詞,6,common,ai,word,,
走私,密輸する/不倫する,ㄗㄡˇ ㄙ,zǒusī,動詞,6,common,ai,word,,
足,過度な/足,ㄗㄨˊ,zú,状態動詞(形容詞)/限定詞,6,common,ai,word,,
阻礙,妨げる/阻む,ㄗㄨˇ ㄞˋ,zǔài,動詞,6,common,ai,word,,
鑽,ドリルで掘る/潜り込む,ㄗㄨㄢ,zuān,動詞,6,common,ai,word,,
鑽石,ダイヤモンド,ㄗㄨㄢˋ ㄕˊ,zuànshí,名詞,6,common,ai,word,,
足夠,十分な,ㄗㄨˊ ㄍㄡˋ,zúgòu,状態動詞(形容詞),6,common,ai,word,,
祖國,祖国,ㄗㄨˇ ㄍㄨㄛˊ,zǔguó,名詞,6,common,ai,word,,
罪,罪/過ち,ㄗㄨㄟˋ,zuì,名詞,6,common,ai,word,,
最少,少なくとも/最低,ㄗㄨㄟˋ ㄕㄠˇ,zuìshǎo,副詞,6,common,ai,word,,
遵守,遵守する/守る,ㄗㄨㄣ ㄕㄡˇ,zūnshǒu,状態動詞,6,common,ai,word,,
尊重,尊重する/敬う,ㄗㄨㄣ ㄓㄨㄥˋ,zūnzhòng,状態動詞,6,common,ai,word,,
做客,客になる/訪問する,ㄗㄨㄛˋ ㄎㄜˋ,zuòkè,自動詞,6,common,ai,word,,原表記: 做客/作客
作為,行い/活動,ㄗㄨㄛˋ ㄨㄟˊ,zuòwéi,状態動詞/名詞,6,common,ai,word,,
作用,作用/効果/影響,ㄗㄨㄛˋ ㄩㄥˋ,zuòyòng,名詞,6,common,ai,word,,
足以,～するに十分な,ㄗㄨˊ ㄧˇ,zúyǐ,助動詞,6,common,ai,word,,
阻止,阻止する/防ぐ,ㄗㄨˇ ㄓˇ,zǔzhǐ,動詞,6,common,ai,word,,
組織,組織する/組織/組織(生物),ㄗㄨˇ ㄓ,zǔzhī,名詞/動詞,6,common,ai,word,,
挨,順に/隣接する/耐える,ㄞ,āi,状態動詞,7,common,ai,word,,
欸,えっ/ああ,ㄞˇ,ǎi,助詞,7,common,ai,word,,
愛戴,敬愛する,ㄞˋ ㄉㄞˋ,àidài,状態動詞,7,common,ai,word,,
愛國,愛国的な,ㄞˋ ㄍㄨㄛˊ,àiguó,状態動詞(形容詞),7,common,ai,word,,
愛滋病,エイズ,ㄞˋ ㄗ ㄅㄧㄥˋ,àizībìng,名詞,7,common,ai,word,,
安頓,落ち着かせる/手配する,ㄢ ㄉㄨㄣˋ,āndùn,動詞,7,common,ai,word,,
安撫,なだめる/慰める,ㄢ ㄈㄨˇ,ānfǔ,動詞,7,common,ai,word,,
安寧,平穏な/安らかな,ㄢ ㄋㄧㄥˊ,ānníng,状態動詞(形容詞),7,common,ai,word,,
安詳,穏やかな/落ち着いた,ㄢ ㄒㄧㄤˊ,ānxiáng,状態動詞(形容詞),7,common,ai,word,,
安置,配置する/落ち着かせる,ㄢ ㄓˋ,ānzhì,動詞,7,common,ai,word,,
暗暗,ひそかに/こっそりと,ㄚˋ ㄋㄢˋ,ànàn,副詞,7,common,ai,word,,
案件,事件/案件,ㄢˋ ㄐㄧㄢˋ,ànjiàn,名詞,7,common,ai,word,,
案情,事件の状況,ㄢˋ ㄑㄧㄥˊ,ànqíng,名詞,7,common,ai,word,,
按摩,マッサージ/揉む,ㄢˋ ㄇㄛˊ,ànmó,動詞,7,common,ai,word,,
昂貴,高価な,ㄤˊ ㄍㄨㄟˋ,ángguì,状態動詞(形容詞),7,common,ai,word,,
奧妙,奥深い/神秘的な,ㄠˋ ㄇㄧㄠˋ,àomiào,状態動詞(形容詞),7,common,ai,word,,
懊惱,いらいらした/悔しい,ㄠˋ ㄋㄠˇ,àonǎo,状態動詞(形容詞),7,common,ai,word,,
八卦,八卦/うわさ話,ㄅㄚ ㄍㄨㄚˋ,bāguà,名詞,7,common,ai,word,,
八字,八字(生年月日時の干支),ㄅㄚ ㄗˋ,bāzì,名詞,7,common,ai,word,,
把持,支配する/独占する,ㄅㄚˇ ㄔˊ,bǎchí,動詞,7,common,ai,word,,
把手,握手する/取っ手,ㄅㄚˇ ㄕㄡˇ,bǎshǒu,名詞,7,common,ai,word,,
白皮書,白書,ㄅㄞˊ ㄆㄧˊ ㄕㄨ,báipíshū,名詞,7,common,ai,word,,
