headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes,en_ref
餐,食事/〜食 / 食事(の回数),ㄘㄢ / ㄘㄢ,cān / cān,量詞,3,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,meal; to eat; classifier for meals
參考,参考にする,ㄘㄢ ㄎㄠˇ,cānkǎo,動詞,5,common,ai,word,,,consultation; reference; to consult
草地,芝生,ㄘㄠˇ ㄉㄧˋ,cǎodì,名詞,5,common,ai,word,,,lawn; meadow; sod
曾,かつて,ㄘㄥˊ,céng,副詞,5,common,ai,word,,,"once; already; ever (in the past) ‖ great- (grandfather, grandchild etc)"
曾經,以前に,ㄘㄥˊ ㄐㄧㄥ,céngjīng,副詞,5,common,ai,word,,,once; already; former
差點,もう少しで,ㄔㄚ ㄉㄧㄢˇ,chādiǎn/chādiǎnr/chāyīdiǎnr,副詞,5,common,ai,word,,原表記: 差點/差點兒/差一點兒,almost; nearly
差別,違い/差,ㄔㄚ ㄅㄧㄝˊ,chābié,名詞,5,common,ai,word,,,difference; distinction; disparity
嘗試,試みる/試み,ㄔㄤˊ ㄕˋ / ㄔㄤˊ ㄕˋ,chángshì / chángshì,動詞/名詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to try; to attempt; CL:次[ci4]
產品,製品,ㄔㄢˇ ㄆㄧㄣˇ,chǎnpǐn,名詞,5,common,ai,word,,,goods; merchandise; product
產生,生じる/産出する,ㄔㄢˇ ㄕㄥ,chǎnshēng,変化動詞,5,common,ai,word,,,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engend
超過,超える,ㄔㄠ ㄍㄨㄛˋ,chāoguò,変化動詞,5,common,ai,word,,,to surpass; to exceed; to outstrip
超級,超～,ㄔㄠ ㄐㄧˊ,chāojí,状態動詞(連体用),5,common,ai,word,,,super-; ultra-; hyper-
吵架,喧嘩する,ㄔㄠˇ ㄐㄧㄚˋ,chǎojià,離合動詞,5,common,ai,word,,,to quarrel; to have a row; quarrel
車禍,交通事故,ㄔㄜ ㄏㄨㄛˋ,chēhuò,名詞,5,common,ai,word,,,traffic accident; car crash; CL:起[qi3]
趁,～に乗じて/～の機会に,ㄔㄣˋ,chèn,介詞(前置詞),5,common,ai,word,,,to avail oneself of; to take advantage of
襯衫,シャツ,ㄔㄣˋ ㄕㄢ,chènshān,名詞,5,common,ai,word,,,shirt; blouse; CL:件[jian4]
成,完成する/～になる,ㄔㄥˊ / ㄔㄥˊ,chéng / chéng,変化動詞/量詞/変化動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to succeed; to finish; to complete
成就,業績/成し遂げる,ㄔㄥˊ ㄐㄧㄡˋ / ㄔㄥˊ ㄐㄧㄡˋ,chéngjiù / chéngjiù,名詞/動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,accomplishment; success; achievement
承認,認める,ㄔㄥˊ ㄖㄣˋ,chéngrèn,動詞,5,common,ai,word,,,to admit; to concede; to recognize
誠實,誠実な,ㄔㄥˊ ㄕˊ,chéngshí,状態動詞(形容詞),5,common,ai,word,,,honest
成熟,成熟した/熟した,ㄔㄥˊ ㄕㄡˊ,chéngshóu,状態動詞(形容詞),5,common,ai,word,,,mature; ripe; to mature; to ripen; Taiwan pr. [cheng2shou2]
成長,成長する/成長,ㄔㄥˊ ㄓㄤˇ / ㄔㄥˊ ㄓㄤˇ,chéngzhǎng / chéngzhǎng,状態動詞(形容詞)/名詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to mature; to grow; growth
尺,定規/尺 / 尺(長さの単位),ㄔˇ / ㄔˇ,chǐ / chǐ,量詞,4,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,"one of the characters used to represent a musical note in gongche notation, 工尺譜|工尺谱[gong1 che3 pu3] ‖ a Chinese foot"
吃喝玩樂,遊び歩く/飲み食い遊ぶ,ㄔ ㄏㄜ ㄨㄢˊ ㄌㄜˋ,chīhēwánlè,自動詞,5,common,ai,word,,,
蟲,虫,ㄔㄨㄥˊ(ㄗ˙),chóng(zi),名詞,5,common,ai,word,,原表記: 蟲(子),"lower form of animal life, including insects, insect larvae, worms and similar creatures; CL:條|条[tiao2],隻|只[zhi1]; (fig."
充實,充実した/中身のある,ㄔㄨㄥ ㄕˊ,chōngshí,状態動詞(形容詞),5,common,ai,word,,,rich; full; substantial
重新,再び/改めて,ㄔㄨㄥˊ ㄒㄧㄣ,chóngxīn,副詞,5,common,ai,word,,,again; once more; re-
醜,醜い/恥ずかしい,ㄔㄡˇ,chǒu,状態動詞(形容詞),5,common,ai,word,,,shameful; ugly; disgraceful
抽,引き抜く/取り出す,ㄔㄡ,chōu,動詞,5,common,ai,word,,,to draw out; to pull out from in between; to remove part of the whole
初,初め/最初の,ㄔㄨ / ㄔㄨ,chū / chū,名詞/副詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,at first; (at the) beginning; first
串,連ねる/串に刺す,ㄔㄨㄢˋ,chuàn,量詞,5,common,ai,word,,,to string together; to skewer; to connect wrongly
創造,創造する/作り出す,ㄔㄨㄤˋ ㄗㄠˋ,chuàngzào,動詞,5,common,ai,word,,,to create; to bring about; to produce
出版,出版する,ㄔㄨ ㄅㄢˇ,chūbǎn,動詞,5,common,ai,word,,,to publish
出差,出張する,ㄔㄨ ㄔㄞ,chūchāi,離合動詞,5,common,ai,word,,,to go on an official or business trip
出發,出発する,ㄔㄨ ㄈㄚ,chūfā,変化動詞,5,common,ai,word,,,to set off; to start (on a journey)
出現,現れる/出現する,ㄔㄨ ㄒㄧㄢˋ,chūxiàn,変化動詞,5,common,ai,word,,,to appear; to arise; to emerge
出租,貸し出す,ㄔㄨ ㄗㄨ,chūzū,動詞,5,common,ai,word,,,to rent
處理,処理する/対処する,ㄔㄨˇ ㄌㄧˇ,chǔlǐ,動詞,5,common,ai,word,,,to handle; to deal with; to punish; to treat sth by a special process; to process
廚師,料理人/シェフ,ㄔㄨˊ ㄕ,chúshī,名詞,5,common,ai,word,,,cook; chef
吹,吹く/管楽器を奏でる,ㄔㄨㄟ,chuī,動詞,5,common,ai,word,,,to blow; to play a wind instrument; to blast
此,これ/この,ㄘˇ,cǐ,限定詞,5,common,ai,word,,,this; these
刺激,刺激する/刺激,ㄘˋ ㄐㄧ / ㄘˋ ㄐㄧ,cìjī / cìjī,名詞/状態動詞(形容詞),5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to provoke; to irritate; to upset; to stimulate; to excite; irritant
從不,一度も～ない,ㄘㄨㄥˊ ㄅㄨˋ,cóngbù,副詞,5,common,ai,word,,,never
從小,幼い頃から,ㄘㄨㄥˊ ㄒㄧㄠˇ,cóngxiǎo,副詞,5,common,ai,word,,,from childhood; from a young age
醋,酢/嫉妬,ㄘㄨˋ,cù,名詞,5,common,ai,word,,,vinegar; jealousy (in love rivalry)
寸,寸(長さの単位),ㄘㄨㄣˋ,cùn,量詞,5,common,ai,word,,,a unit of length; inch; thumb
存在,存在する/存在,ㄘㄨㄣˊ ㄗㄞˋ,cúnzài,自動詞,5,common,ai,word,,,to exist; to be; existence
錯,間違っている / 間違い/誤り,ㄘㄨㄛˋ / ㄘㄨㄛˋ,cuò / cuò,名詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,mistake; wrong; bad
錯誤,誤り/間違い,ㄘㄨㄛˋ ㄨˋ,cuòwù,名詞,5,common,ai,word,,,mistaken; false; wrong; error; mistake; CL:個|个[ge4]
挫折,挫折/失敗,ㄘㄨㄛˋ ㄓㄜˊ,cuòzhé,名詞,5,common,ai,word,,,setback; reverse; check
達成,達成する,ㄉㄚˊ ㄔㄥˊ,dáchéng,変化動詞,5,common,ai,word,,,to reach (an agreement); to accomplish
打架,喧嘩する,ㄉㄚˇ ㄐㄧㄚˋ,dǎjià,離合動詞,5,common,ai,word,,,to fight; to scuffle; to come to blows
大多數,大多数,ㄉㄚˋ ㄉㄨㄛ ㄕㄨˋ,dàduōshù,限定詞,5,common,ai,word,,,(great) majority
大方,気前が良い/寛大だ,ㄉㄚˋ ㄈㄤ,dàfāng,状態動詞(形容詞),5,common,ai,word,,,expert; scholar; mother earth ‖ generous
大會,大会/総会,ㄉㄚˋ ㄏㄨㄟˋ,dàhuì,名詞,5,common,ai,word,,,general assembly; general meeting; convention
代表,代表する/代表,ㄉㄞˋ ㄅㄧㄠˇ / ㄉㄞˋ ㄅㄧㄠˇ,dàibiǎo / dàibiǎo,名詞/動詞/状態動詞(形容詞),5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,"representative; delegate; CL:位[wei4],個|个[ge4],名[ming2]"
代替,代わる/代用する,ㄉㄞˋ ㄊㄧˋ,dàitì,動詞,5,common,ai,word,,,to replace; to take the place of
帶領,導く/率いる,ㄉㄞˋ ㄌㄧㄥˇ,dàilǐng,動詞,5,common,ai,word,,,to guide; to lead
單純,単純な/純粋な,ㄉㄢ ㄔㄨㄣˊ,dānchún,状態動詞(形容詞),5,common,ai,word,,,simple; pure; unsophisticated
淡,薄い/淡泊な,ㄉㄢˋ,dàn,状態動詞(形容詞),5,common,ai,word,,,insipid; diluted; weak
當場,その場で,ㄉㄤ ㄔㄤˇ,dāngchǎng,副詞,5,common,ai,word,,,at the scene; on the spot
當地,現地/地元,ㄉㄤ ㄉㄧˋ,dāngdì,名詞,5,common,ai,word,,,local
當面,面と向かって,ㄉㄤ ㄇㄧㄢˋ,dāngmiàn,副詞,5,common,ai,word,,,to sb's face; in sb's presence
當年,当時/その年,ㄉㄤ ㄋㄧㄢˊ,dāngnián,名詞,5,common,ai,word,,,in those days; back then; in those years; to be in the prime of life ‖ that very same year
當天,当日/その日,ㄉㄤˋ ㄊㄧㄢ,dàngtiān,名詞,5,common,ai,word,,,on that day ‖ the same day
當作,～とみなす,ㄉㄤˋ ㄗㄨㄛˋ,dàngzuò,状態動詞,5,common,ai,word,,原表記: 當作/當做,to treat as; to regard as
擔任,務める/担当する,ㄉㄢ ㄖㄣˋ,dānrèn,動詞,5,common,ai,word,,,to hold a governmental office or post; to assume office of; to take charge of
單身,独身の,ㄉㄢ ㄕㄣ,dānshēn,状態動詞(形容詞),5,common,ai,word,,,unmarried; single; alone
倒,倒れる/ひっくり返す,ㄉㄠˇ,dǎo,動詞,5,common,ai,word,,,to fall; to collapse; to lie horizontally; to fail; to go bankrupt; to overthrow ‖ to invert; to place upside down or front
導演,監督する/監督,ㄉㄠˇ ㄧㄢˇ / ㄉㄠˇ ㄧㄢˇ,dǎoyǎn / dǎoyǎn,名詞/動詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to direct; director (film etc)
到,着く/〜まで / 至る/着く/～まで,ㄉㄠˋ / ㄉㄠˋ,dào / dào,接続詞/介詞(前置詞),1,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point)
到底,結局/一体,ㄉㄠˋ ㄉㄧˇ,dàodǐ,副詞/状態動詞(述語用),5,common,ai,word,,,finally; in the end; when all is said and done
倒是,意外にも/かえって,ㄉㄠˋ ㄕˋ,dàoshì,副詞,5,common,ai,word,,,contrary to what one might expect; actually; contrariwise
道德,道徳/倫理,ㄉㄠˋ ㄉㄜˊ,dàodé,名詞,5,common,ai,word,,,virtue; morality; ethics
道理,道理/理屈,ㄉㄠˋ ㄌㄧˇ,dàolǐ,名詞,5,common,ai,word,,,reason; argument; sense
道歉,謝る,ㄉㄠˋ ㄑㄧㄢˋ,dàoqiàn,離合動詞,5,common,ai,word,,,to apologize
答應,応じる/承諾する/約束する,ㄉㄚ ㄧㄥˋ,dāyìng,動詞,5,common,ai,word,,,to answer; to respond; to answer positively; to agree; to accept; to promise
打掃,掃除する,ㄉㄚˇ ㄙㄠˇ,dǎsǎo,動詞,5,common,ai,word,,,to clean; to sweep
打聽,尋ね回る/聞き出す,ㄉㄚˇ ㄊㄧㄥ,dǎtīng,動詞,5,common,ai,word,,,to ask about; to make some inquiries; to ask around
大小,大小/大きさ/大人と子供,ㄉㄚˋ ㄒㄧㄠˇ,dàxiǎo,名詞,5,common,ai,word,,,large and small; size; adults and children
大約,およそ/たぶん,ㄉㄚˋ ㄩㄝ,dàyuē,副詞,5,common,ai,word,,,approximately; probably
打仗,戦う/戦争する,ㄉㄚˇ ㄓㄤˋ,dǎzhàng,離合動詞,5,common,ai,word,,,to fight a battle; to go to war
得,〜しなければならない / 得る/（補語の助詞）,ㄉㄟˇ / ㄉㄜˊ,děi / dé,助動詞,2,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,to obtain; to get; to gain ‖ structural particle: used after a verb (
得意,得意げな/満足した,ㄉㄜˊ ㄧˋ,déyì,状態動詞(形容詞),5,common,ai,word,,,proud of oneself; pleased with oneself; complacent
等待,待つ,ㄉㄥˇ ㄉㄞˋ,děngdài,動詞,5,common,ai,word,,,to wait; to wait for
燈光,照明/明かり,ㄉㄥ ㄍㄨㄤ,dēngguāng,名詞,5,common,ai,word,,,(stage) lighting; light
敵人,敵,ㄉㄧˊ ㄖㄣˊ,dírén,名詞,5,common,ai,word,,,enemy; CL:個|个[ge4]
抵達,到着する,ㄉㄧˇ ㄉㄚˊ,dǐdá,動詞,5,common,ai,word,,,to arrive; to reach (a destination)
地板,床,ㄉㄧˋ ㄅㄢˇ,dìbǎn,名詞,5,common,ai,word,,,floor
地帶,地帯/区域,ㄉㄧˋ ㄉㄞˋ,dìdài,名詞,5,common,ai,word,,,zone; CL:個|个[ge4]
地區,地域/地区,ㄉㄧˋ ㄑㄩ,dìqū,名詞,5,common,ai,word,,,local; regional; district (not necessarily formal administrative unit)
地攤,露店,ㄉㄧˋ ㄊㄢ,dìtān,名詞,5,common,ai,word,,,roadside stall
地位,地位/立場,ㄉㄧˋ ㄨㄟˋ,dìwèi,名詞,5,common,ai,word,,,position; status; place
地下,地下/秘密の,ㄉㄧˋ ㄒㄧㄚˋ / ㄉㄧˋ ㄒㄧㄚˋ,dìxià / dìxià,名詞/状態動詞(連体用),5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,underground; subterranean; covert
點,〜時/少し / 点/滴/時,ㄉㄧㄢˇ / ㄉㄧㄢˇ,diǎn / diǎn,量詞/名詞/動詞,1,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,point; dot; drop
電車,路面電車/電気自動車,ㄉㄧㄢˋ ㄔㄜ,diànchē,名詞,5,common,ai,word,,,tram; streetcar; trolleybus; electric car
電燈,電灯,ㄉㄧㄢˋ ㄉㄥ,diàndēng,名詞,5,common,ai,word,,,electric light; CL:盞|盏[zhan3]
調查,調査する/調査,ㄉㄧㄠˋ ㄔㄚˊ / ㄉㄧㄠˋ ㄔㄚˊ,diàochá / diàochá,動詞/名詞,5,common,ai,word,,多音字/多義語: 複数の発音・意味を統合,investigation; inquiry; to investigate
東北,北東,ㄉㄨㄥ ㄅㄟˇ,dōngběi,名詞,5,common,ai,word,,,Northeast China; Manchuria ‖ northeast
東南,南東,ㄉㄨㄥ ㄋㄢˊ,dōngnán,名詞,5,common,ai,word,,,southeast
懂事,物分かりが良い,ㄉㄨㄥˇ ㄕˋ,dǒngshì,状態動詞(形容詞),5,common,ai,word,,,to grow beyond the naivete of childhood; to be aware of what is going on in the world; (esp. of a child) sensible; thoug
逗,からかう/面白い,ㄉㄡˋ,dòu,動詞,5,common,ai,word,,,to tease (playfully); to entice; (coll.) to joke; (coll.) funny; amusing
毒品,麻薬/毒物,ㄉㄨˊ ㄆㄧㄣˇ,dúpǐn,名詞,5,common,ai,word,,,drugs; narcotics; poison
獨特,独特な,ㄉㄨˊ ㄊㄜˋ,dútè,状態動詞(形容詞),5,common,ai,word,,,unique; distinctive
讀者,読者,ㄉㄨˊ ㄓㄜˇ,dúzhě,名詞,5,common,ai,word,,,reader
