headword,meaning_ja,zhuyin,pinyin,pos,tocfl_level,taiwan_usage,source,entry_type,scene_tags,notes,en_ref
晚上,夜,ㄨㄢˇ ㄕㄤˋ,wǎnshàng,名詞,1,common,ai,word,personal,,evening; night; CL:個|个[ge4]
一,1,ㄧ,yī,名詞,1,common,ai,word,personal,,one; single; a (article)
二,2,ㄦˋ,èr,名詞,1,common,ai,word,personal,,two; 2; (Beijing dialect) stupid
三,3,ㄙㄢ,sān,名詞,1,common,ai,word,personal,,three; 3
四,4,ㄙˋ,sì,名詞,1,common,ai,word,personal,,four; 4
五,5,ㄨˇ,wǔ,名詞,1,common,ai,word,personal,,five; 5
六,6,ㄌㄧㄡˋ,liù,名詞,1,common,ai,word,personal,,six; 6
七,7,ㄑㄧ,qī,名詞,1,common,ai,word,personal,,seven; 7
八,8,ㄅㄚ,bā,名詞,1,common,ai,word,personal,,eight
九,9,ㄐㄧㄡˇ,jiǔ,名詞,1,common,ai,word,personal,,nine; 9
十,10,ㄕˊ,shí,名詞,1,common,ai,word,personal,,ten; 10
兩,2つの(量詞の前の「2」),ㄌㄧㄤˇ,liǎng,名詞,1,common,ai,word,personal,,two; both; some
時候,〜の時,ㄕˊ ㄏㄡˋ,shíhòu,名詞,1,common,ai,word,personal,,time; length of time; moment
百,100,ㄅㄞˇ,bǎi,名詞,1,common,ai,word,personal,,hundred; numerous; all kinds of
半,半分,ㄅㄢˋ,bàn,名詞,1,common,ai,word,personal,,half; semi-; incomplete
千,1000,ㄑㄧㄢ,qiān,名詞,1,common,ai,word,personal,,thousand
爸爸,お父さん,ㄅㄚˋ ˙ㄅㄚ,bàba/bà,名詞,1,common,ai,word,personal,原表記: 爸爸/爸,"(coll.) father; dad; CL:個|个[ge4],位[wei4]"
媽媽,お母さん,ㄇㄚ ˙ㄇㄚ,māma/mā,名詞,1,common,ai,word,personal,原表記: 媽媽/媽,mama; mommy; mother
哥哥,お兄さん,ㄍㄜ ˙ㄍㄜ,gēge/gē,名詞,1,common,ai,word,personal,原表記: 哥哥/哥,"older brother; CL:個|个[ge4],位[wei4]"
弟弟,弟,ㄉㄧˋ ˙ㄉㄧ,dìdi/dì,名詞,1,common,ai,word,personal,原表記: 弟弟/弟,"younger brother; CL:個|个[ge4],位[wei4]"
姊姊,お姉さん,ㄐㄧㄝˇ ˙ㄐㄧㄝ,jiějie/jiě,名詞,1,common,ai,word,personal,原表記: 姊姊/姐姐/姊/姐,older sister; Taiwan pr. [jie3 jie5]
妹妹,妹,ㄇㄟˋ ˙ㄇㄟ,mèimei/mèi,名詞,1,common,ai,word,personal,原表記: 妹妹/妹,younger sister; young woman; CL:個|个[ge4]
小孩,子ども,ㄒㄧㄠˇ ㄏㄞˊ(ㄗ˙),xiǎohái(zi),名詞,1,common,ai,word,personal,原表記: 小孩(子),child; CL:個|个[ge4]
的,〜の,˙ㄉㄜ,de,助詞,1,common,ai,word,personal,,of; ~'s (possessive particle); (used after an attribute when it modifies a noun); (used at the end of a declarative sent ‖ a taxi; a cab (abbr. for 的士[di1shi4])
第,第〜(順序),ㄉㄧˋ,dì,限定詞,1,common,ai,word,personal,,"(prefix indicating ordinal number, as in 第六[di4-liu4] ""sixth""); (literary) grades in which successful candidates in the "
分,分/点数,ㄈㄣ,fēn,量詞,1,common,ai,word,personal,,to divide; to separate; to distribute; to allocate; to distinguish (good and bad) ‖ part
點,〜時/少し,ㄉㄧㄢˇ,diǎn,量詞,1,common,ai,word,personal,,point; dot; drop
個,〜個(最も一般的な量詞),˙ㄍㄜ,ge,量詞,1,common,ai,word,personal,,(classifier used before a noun that has no specific classifier); (bound form) individual
歲,〜歳,ㄙㄨㄟˋ,suì,量詞,1,common,ai,word,personal,,classifier for years (of age); year; year (of crop harvests)
年,年,ㄋㄧㄢˊ,nián,量詞,1,common,ai,word,personal,,year; CL:個|个[ge4]
住,住む,ㄓㄨˋ,zhù,動詞,1,common,ai,word,personal,,to live; to dwell; to stay
來,来る,ㄌㄞˊ,lái,動詞,1,common,ai,word,personal,,"to come; (used as a substitute for a more specific verb); hither (directional complement for motion toward the speaker, "
是,〜である,ㄕˋ,shì,状態動詞,1,common,ai,word,personal,,to be (followed by substantives only); correct; right; true; (respectful acknowledgement of a command) very well
姓,姓は〜という,ㄒㄧㄥˋ,xìng,状態動詞,1,common,ai,word,personal,,family name; surname; to be surnamed ...
覺得,〜と感じる/思う,ㄐㄩㄝˊ ˙ㄉㄜ,juéde,状態動詞,1,common,ai,word,personal,,to think that ...; to feel that ...; to feel (uncomfortable etc)
喜歡,好きだ,ㄒㄧˇ ㄏㄨㄢ,xǐhuān,状態動詞,1,common,ai,word,personal,,to like; to be fond of
打電話,電話をかける,ㄉㄚˇ ㄉㄧㄢˋ ㄏㄨㄚˋ,dǎdiànhuà,自動詞,1,common,ai,word,personal,,to make a telephone call
漂亮,きれいだ,ㄆㄧㄠˋ ㄌㄧˋ ˙ㄤ,piàolìang,状態動詞(形容詞),1,common,ai,word,personal,,pretty; beautiful
高,高い/背が高い,ㄍㄠ,gāo,状態動詞(形容詞),1,common,ai,word,personal,,high; tall; above average
老,年をとった,ㄌㄠˇ,lǎo,状態動詞(形容詞),1,common,ai,word,personal,,prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to 
好,良い,ㄏㄠˇ,hǎo,副詞,1,common,ai,word,personal,,good; appropriate; proper; all right! ‖ to be fond of; to have a tendency to; to
很,とても,ㄏㄣˇ,hěn,副詞,1,common,ai,word,personal,,"very; quite; (also, often used before an adjective without intensifying its meaning, i.e. as a meaningless syntactic ele"
真,本当に,ㄓㄣ,zhēn,副詞,1,common,ai,word,personal,,really; truly; indeed
電腦,パソコン,ㄉㄧㄢˋ ㄋㄠˇ,diànnǎo,名詞,1,common,ai,word,work,,computer; CL:臺|台[tai2]
老師,先生,ㄌㄠˇ ㄕ,lǎoshī,名詞,1,common,ai,word,work,,"teacher; CL:個|个[ge4],位[wei4]"
買,買う,ㄇㄞˇ,mǎi,動詞,1,common,ai,word,work,,to buy; to purchase
忙,忙しい,ㄇㄤˊ,máng,状態動詞(形容詞),1,common,ai,word,work,,busy; hurriedly; to hurry
學生,学生,ㄒㄩㄝˊ ㄕㄥ,xuéshēng,名詞,1,common,ai,word,education,,student; schoolchild
大學,大学,ㄉㄚˋ ㄒㄩㄝˊ,dàxué,名詞,1,common,ai,word,education,,"the Great Learning, one of the Four Books 四書|四书[Si4 shu1] in Confucianism ‖ university"
學校,学校,ㄒㄩㄝˊ ㄒㄧㄠˋ,xuéxiào,名詞,1,common,ai,word,education,,school; CL:所[suo3]
中文,中国語,ㄓㄨㄥ ㄨㄣˊ,zhōngwén,名詞,1,common,ai,word,education,,Chinese language
同學,クラスメート,ㄊㄨㄥˊ ㄒㄩㄝˊ,tóngxué,名詞,1,common,ai,word,education,,to study at the same school; fellow student; classmate
字,字,ㄗˋ,zì,名詞,1,common,ai,word,education,,letter; symbol; character
筆,ペン,ㄅㄧˇ,bǐ,名詞,1,common,ai,word,education,,pen; pencil; writing brush
學,学ぶ,ㄒㄩㄝˊ,xué,動詞,1,common,ai,word,education,,to learn; to study; to imitate
問,尋ねる,ㄨㄣˋ,wèn,動詞,1,common,ai,word,education,,to ask; to inquire
說,話す/言う,ㄕㄨㄛ,shuō,動詞,1,common,ai,word,education,,to persuade ‖ to speak; to talk; to say
寫,書く,ㄒㄧㄝˇ,xiě,動詞,1,common,ai,word,education,,to write
聽,聞く,ㄊㄧㄥ,tīng,動詞,1,common,ai,word,education,,"to listen to; to hear; to heed; to obey; a can (loanword from English ""tin"")"
對,正しい/〜に対して,ㄉㄨㄟˋ,duì,状態動詞(形容詞),1,common,ai,word,education,,right; correct; towards; at; for; concerning; regarding
能,〜できる,ㄋㄥˊ,néng,助動詞,1,common,ai,word,education,,can; to be able to; might possibly
可以,〜してよい/できる,ㄎㄜˇ ㄧˇ,kěyǐ,助動詞,1,common,ai,word,education,,can; may; possible
上課,授業に出る,ㄕㄤˋ ㄎㄜˋ,shàngkè,離合動詞,1,common,ai,word,education,,to go to class; to attend class; to go to teach a class
知道,知っている,ㄓ ㄉㄠˋ,zhīdào,状態動詞,1,common,ai,word,education,,to know; to become aware of; also pr. [zhi1dao5]
電視,テレビ,ㄉㄧㄢˋ ㄕˋ(ㄐㄧ),diànshì(jī),名詞,1,common,ai,word,home,原表記: 電視(機),"television; TV; CL:臺|台[tai2],部[bu4]"
水,水,ㄕㄨㄟˇ,shuǐ,名詞,1,common,ai,word,home,,water; (after a name) ... River; to swim (used mostly in 會水|会水[hui4shui3] and 水性[shui3xing4])
久,長い間,ㄐㄧㄡˇ,jiǔ,状態動詞(述語用),1,common,ai,word,daily,,(of a period of time) long
早,早い,ㄗㄠˇ,zǎo,状態動詞(形容詞),1,common,ai,word,leisure,,early; morning; Good morning!
再,再び,ㄗㄞˋ,zài,副詞,1,common,ai,word,leisure,,again; once more; re-; further; beyond this point of time; (before an adjective) more
書,本,ㄕㄨ,shū,名詞,1,common,ai,word,leisure,,abbr. for 書經|书经[Shu1 jing1] ‖ book
電影,映画,ㄉㄧㄢˋ ㄧㄥˇ,diànyǐng,名詞,1,common,ai,word,leisure,,"movie; film; CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]"
以前,以前,ㄧˇ ㄑㄧㄢˊ,yǐqián,名詞,1,common,ai,word,leisure,,before; formerly; previous
以後,以後,ㄧˇ ㄏㄡˋ,yǐhòu,名詞,1,common,ai,word,leisure,,after; later; afterwards
走,歩く/行く,ㄗㄡˇ,zǒu,動詞,1,common,ai,word,leisure,,to walk; to go; to run
等,待つ,ㄉㄥˇ,děng,動詞,1,common,ai,word,leisure,,to wait for; to await; by the time; when; till; and so on; etc.; et al.
看,見る,ㄎㄢˋ,kàn,動詞,1,common,ai,word,leisure,,to look after; to take care of; to watch ‖ to see; to look at
就,すぐに/〜ならば…だ,ㄐㄧㄡˋ,jiù,副詞,1,common,ai,word,leisure,,(after a suppositional clause) in that case; then; (after a clause of action) as soon as; immediately after; (same as 就是
什麼,何,ㄕㄣˊ ˙ㄇㄜ,shénme,名詞,1,common,ai,word,social,原表記: 什麼/甚麼,what?; something; anything
朋友,友達,ㄆㄥˊ ㄧㄡˇ,péngyǒu,名詞,1,common,ai,word,social,,"friend; CL:個|个[ge4],位[wei4]"
東西,もの,ㄉㄨㄥ ˙ㄒㄧ,dōngxi,名詞,1,common,ai,word,social,,east and west ‖ thing
吧,〜でしょう(推量・提案),˙ㄅㄚ,ba,助詞,1,common,ai,word,social,,"bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang ‖ (modal particle indicating suggestion or"
呢,〜は?(疑問の助詞),˙ㄋㄜ,ne,助詞,1,common,ai,word,social,,"particle indicating that a previously asked question is to be applied to the preceding word (""What about ...?"", ""And ... ‖ dense wool fabric (used for coats and ja"
嗎,〜か?(疑問の助詞),˙ㄇㄚ,ma,助詞,1,common,ai,word,social,,"(coll.) what? ‖ (question particle for ""yes-no"" question"
找,探す,ㄓㄠˇ,zhǎo,動詞,1,common,ai,word,social,,to try to find; to look for; to call on sb
做,する/作る,ㄗㄨㄛˋ,zuò,動詞,1,common,ai,word,social,,to make; to produce; to write; to compose; to do; to engage in; to hold (a party etc)
再見,さようなら,ㄗㄞˋ ㄐㄧㄢˋ,zàijiàn,自動詞,1,common,ai,word,social,,goodbye; see you again later
怎麼樣,どうですか,ㄗㄣˇ ˙ㄇㄜ ㄧㄤˋ,zěnmeyàng,状態動詞(形容詞),1,common,ai,word,social,,how?; how about?; how was it?
叫,〜という名前だ/呼ぶ,ㄐㄧㄠˋ,jiào,状態動詞/動詞,1,common,ai,word,social,,to shout; to call; to order
謝謝,ありがとう,ㄒㄧㄝˋ ˙ㄒㄧㄝ,xièxie,状態動詞,1,common,ai,word,social,,to thank; thanks; thank you
對不起,ごめんなさい,ㄉㄨㄟˋ ㄅㄨˋ ㄑㄧˇ,duìbùqǐ,,1,common,ai,word,social,,I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint
請問,お尋ねしますが,ㄑㄧㄥˇ ㄨㄣˋ,qǐngwèn,,1,common,ai,word,social,,"Excuse me, may I ask...?"
這,これ,ㄓㄜˋ,zhè,限定詞,1,common,ai,word,travel,,(pronoun) this; these; (bound form) this; the (followed by a noun); (bound form) this; these (followed by a classifier)  ‖ (coll.) this
那,それ/あれ,ㄋㄚˋ,nà,限定詞,1,common,ai,word,travel,,"(specifier) that; the; those (colloquial pr. [nei4]); (pronoun) that (referring to persons, things or situations); then  ‖ (archaic) many"
公共汽車,バス,ㄍㄨㄥ ㄍㄨㄥˋ ㄑㄧˋ ㄔㄜ,gōnggòngqìchē/gōngchē,名詞,1,common,ai,word,travel,原表記: 公共汽車/公車,"bus; CL:輛|辆[liang4],班[ban1]"
車,車,ㄔㄜ(ㄗ˙),chē(zi),名詞,1,common,ai,word,travel,原表記: 車(子),car; vehicle; CL:輛|辆[liang4] ‖ war chariot (archaic)
到,着く/〜まで,ㄉㄠˋ,dào,動詞,1,common,ai,word,travel,,to reach; to arrive; to leave for; to go to; to (a place); until (a time); up to (a point)
去,行く,ㄑㄩˋ,qù,動詞,1,common,ai,word,travel,,to go; to go to (a place); (of a time etc) last
回,帰る/戻る,ㄏㄨㄟˊ,huí,動詞,1,common,ai,word,travel,,to circle; to go back; to turn around
坐,座る/乗る,ㄗㄨㄛˋ,zuò,自動詞,1,common,ai,word,travel,,"to sit; to take a seat; to take (a bus, airplane etc)"
這裡,ここ,ㄓㄜˋ ㄌㄧˇ,zhèlǐ/zhèr,名詞,1,common,ai,word,travel,原表記: 這裡/這裏/這兒,here
那裡,そこ/あそこ,ㄋㄚˋ ㄌㄧˇ,nàlǐ/nàr,名詞,1,common,ai,word,travel,原表記: 那裡/那裏/那兒,there; that place
哪裡,どこ,ㄋㄚˇ ㄌㄧˇ,nǎlǐ/nǎr,名詞,1,common,ai,word,travel,原表記: 哪裡/哪裏/哪兒,where?; somewhere; anywhere
開車,車を運転する,ㄎㄞ ㄔㄜ,kāichē,離合動詞,1,common,ai,word,travel,,to drive a car
錢,お金,ㄑㄧㄢˊ,qián,名詞,1,common,ai,word,shopping,,coin; money; CL:筆|笔[bi3]
多少,いくら/どれだけ,ㄉㄨㄛ ㄕㄠˇ,duōshǎo,名詞,1,common,ai,word,shopping,,number; amount; somewhat ‖ how much?; how many?
給,あげる/〜に,ㄍㄟˇ,gěi,動詞,1,common,ai,word,shopping,,to; for; for the benefit of ‖ to supply
貴,(値段が)高い,ㄍㄨㄟˋ,guì,状態動詞(形容詞),1,common,ai,word,shopping,,abbr. for Guizhou Province 貴州|贵州[Gui4zhou1] ‖ expensive
便宜,安い,ㄆㄧㄢˊ ㄧˊ,piányí,状態動詞(形容詞),1,common,ai,word,shopping,,convenient ‖ cheap; inexpensive
大,大きい,ㄉㄚˋ,dà,状態動詞(形容詞),1,common,ai,word,shopping,,big; large; great; older (than another person); eldest (as in 大姐[da4jie3]) ‖ see 大夫[dai4 fu5]
小,小さい,ㄒㄧㄠˇ,xiǎo,状態動詞(形容詞),1,common,ai,word,shopping,,small; tiny; few
難,難しい,ㄋㄢˊ,nán,状態動詞(形容詞),1,common,ai,word,shopping,,difficult (to...); problem; difficulty ‖ disaster
容易,簡単だ,ㄖㄨㄥˊ ㄧˋ,róngyì,状態動詞(形容詞),1,common,ai,word,shopping,,easy; straightforward; likely; liable to; apt to
有,ある/持っている,ㄧㄡˇ,yǒu,状態動詞,1,common,ai,word,shopping,,to have; there is; (bound form) having; with; -ful; -ed; -al (as in 有意[you3yi4] intentional)
想,〜したい/考える,ㄒㄧㄤˇ,xiǎng,状態動詞,1,common,ai,word,shopping,,to think (about); to think of; to devise; to think (that); to believe (that)
幾,いくつ,ㄐㄧˇ,jǐ,限定詞,1,common,ai,word,food,,almost ‖ how much
塊,〜元(お金の口語),ㄎㄨㄞˋ,kuài,量詞,1,common,ai,word,food,,"lump; chunk; piece; classifier for pieces of cloth, cake, soap etc; (coll.) classifier for money and currency units"
位,〜名様(人の敬語量詞),ㄨㄟˋ,wèi,量詞,1,common,ai,word,food,,position; location; place
飯,ご飯,ㄈㄢˋ,fàn,名詞,1,common,ai,word,food,,cooked rice; CL:碗[wan3]; meal
吃,食べる,ㄔ,chī,動詞,1,common,ai,word,food,,to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy
請,どうぞ/おごる,ㄑㄧㄥˇ,qǐng,動詞,1,common,ai,word,food,,to ask; to invite; please (do sth)
也,〜も,ㄧㄝˇ,yě,副詞,1,common,ai,word,,,also; too; as well; (not ...) either; (used after a verbal or nominal expression X to indicate that X is an extreme or u
不,〜ない(否定),ㄅㄨˋ,bù,副詞,1,common,ai,word,,,no; not so; (bound form) not; un-
沒,〜ない/なかった,ㄇㄟˊ,méi,副詞,1,common,ai,word,,,(negative prefix for verbs) have not; not ‖ drowned
都,すべて/みんな,ㄉㄡ,dōu,副詞,1,common,ai,word,,,all; both; entirely; (used for emphasis) even; already ‖ capital city
只,〜だけ,ㄓˇ,zhǐ,副詞,1,common,ai,word,,,only; merely; just
可是,しかし,ㄎㄜˇ ㄕˋ,kěshì,接続詞,1,common,ai,word,,,but; however; (used for emphasis) indeed
還是,それとも/やはり,ㄏㄞˊ ㄕˋ,háishì,接続詞,1,common,ai,word,,,still (as before); had better; unexpectedly
了,〜した(完了・変化),˙ㄌㄜ,le,助詞,1,common,ai,word,,,"(completed action marker); (modal particle indicating change of state, situation now); (modal particle intensifying prec ‖ to finish"
得,〜するのが…だ(様態補語の助詞),˙ㄉㄜ,de,助詞,1,common,ai,word,,,to obtain; to get; to gain ‖ structural particle: used after a verb (
過,〜したことがある,ㄍㄨㄛˋ,guò,助詞,1,common,ai,word,,,to cross; to go over; to pass (time) ‖ (experienced action marker)
沒有,ない/持っていない,ㄇㄟˊ ㄧㄡˇ,méiyǒu,助詞,1,common,ai,word,,,haven't; hasn't; doesn't exist
男,男,ㄋㄢˊ,nán,名詞,2,common,ai,word,personal,,"(bound form) male; baron, the lowest of the five ranks of nobility 五等爵位[wu3deng3 jue2wei4]"
女,女,ㄋㄩˇ,nǚ,名詞,2,common,ai,word,personal,,female; woman; daughter
孩子,子ども,ㄏㄞˊ ˙ㄗ,háizi,名詞,2,common,ai,word,personal,,child
小姐,〜さん(未婚女性),ㄒㄧㄠˇ ㄐㄧㄝˇ,xiǎojiě,名詞,2,common,ai,word,personal,,young lady; miss; (slang) prostitute
先生,〜さん(男性)/ご主人,ㄒㄧㄢ ㄕㄥ,xiānshēng,名詞,2,common,ai,word,personal,,teacher; gentleman; sir; mister (Mr.); husband
太太,奥さん/夫人,ㄊㄞˋ ˙ㄊㄞ,tàitai,名詞,2,common,ai,word,personal,,married woman; Mrs.; Madam
女兒,娘,ㄋㄩˇ ㄦˊ,nǚér,名詞,2,common,ai,word,personal,,daughter
兒子,息子,ㄦˊ ˙ㄗ,érzi,名詞,2,common,ai,word,personal,,son
大家,みんな,ㄉㄚˋ ㄐㄧㄚ,dàjiā,名詞,2,common,ai,word,personal,,everyone; influential family; great expert
路,道,ㄌㄨˋ,lù,名詞,2,common,ai,word,personal,,road (CL:條|条[tiao2]); journey; route
手機,携帯電話/スマホ,ㄕㄡˇ ㄐㄧ,shǒujī,名詞,2,common,ai,word,personal,,cell phone; mobile phone; CL:部[bu4]
明年,来年,ㄇㄧㄥˊ ㄋㄧㄢˊ,míngnián,名詞,2,common,ai,word,personal,,next year
去年,去年,ㄑㄩˋ ㄋㄧㄢˊ,qùnián,名詞,2,common,ai,word,personal,,last year
生日,誕生日,ㄕㄥ ㄖˋ,shēngrì,名詞,2,common,ai,word,personal,,birthday; CL:個|个[ge4]
月,月,ㄩㄝˋ,yuè,名詞,2,common,ai,word,personal,,moon; month; monthly
日,日,ㄖˋ,rì,名詞,2,common,ai,word,personal,,"abbr. for 日本[Ri4 ben3], Japan ‖ sun"
星期,週/曜日,ㄒㄧㄥ ㄑㄧˊ,xīngqí,名詞,2,common,ai,word,personal,,week; CL:個|个[ge4]; day of the week
星期天,日曜日,ㄒㄧㄥ ㄑㄧˊ ㄊㄧㄢ,xīngqítiān/xīngqírì,名詞,2,common,ai,word,personal,原表記: 星期天/星期日,Sunday; CL:個|个[ge4]
禮拜天,日曜日(口語),ㄌㄧˇ ㄅㄞˋ ㄊㄧㄢ,lǐbàitiān,名詞,2,common,ai,word,personal,,Sunday
週末,週末,ㄓㄡ ㄇㄛˋ,zhōumò,名詞,2,common,ai,word,personal,原表記: 週末/周末,weekend
號,〜日(日付)/番号,ㄏㄠˋ,hào,量詞,2,common,ai,word,personal,,roar; cry; CL:個|个[ge4] ‖ ordinal number
天,日/空,ㄊㄧㄢ,tiān,名詞/量詞,2,common,ai,word,personal,,day; sky; heaven
從,〜から,ㄘㄨㄥˊ,cóng,介詞(前置詞),2,common,ai,word,personal,,from; through; via; (bound form) to follow; (bound form) to obey
在,〜にいる/〜で,ㄗㄞˋ,zài,介詞(前置詞)/状態動詞,2,common,ai,word,personal,,to exist; to be alive; (of sb or sth) to be (located) at; (used before a verb to indicate an action in progress)
愛,愛する,ㄞˋ,ài,状態動詞,2,common,ai,word,personal,,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen)
快樂,楽しい/幸せだ,ㄎㄨㄞˋ ㄌㄜˋ,kuàilè,状態動詞(形容詞),2,common,ai,word,personal,,happy; joyful
太,〜すぎる,ㄊㄞˋ,tài,副詞,2,common,ai,word,personal,,highest; greatest; too (much)
公園,公園,ㄍㄨㄥ ㄩㄢˊ,gōngyuán,名詞,2,common,ai,word,personal,,park (for public recreation); CL:座[zuo4]
國家,国家,ㄍㄨㄛˊ ㄐㄧㄚ,guójiā,名詞,2,common,ai,word,personal,,country; nation; state; CL:個|个[ge4]
分鐘,〜分間,ㄈㄣ ㄓㄨㄥ,fēnzhōng,量詞,2,common,ai,word,personal,,minute
家人,家族,ㄐㄧㄚ ㄖㄣˊ,jiārén,名詞,2,common,ai,word,personal,,family member; (old) servant
胖,太っている,ㄆㄤˋ,pàng,状態動詞(形容詞),2,common,ai,word,personal,,healthy; at ease ‖ fat
矮,背が低い,ㄞˇ,ǎi,状態動詞(形容詞),2,common,ai,word,personal,,(of a person) short; (of a wall etc) low; (of rank) inferior (to); lower (than)
瘦,痩せている,ㄕㄡˋ,shòu,状態動詞(形容詞),2,common,ai,word,personal,,thin; to lose weight; (of clothing) tight
萬,1万,ㄨㄢˋ,wàn,名詞,2,common,ai,word,personal,,ten thousand; a great number
鐘頭,〜時間(口語),ㄓㄨㄥ ㄊㄡˊ,zhōngtóu,名詞,2,common,ai,word,personal,,hour; CL:個|个[ge4]
晚,遅い/夜,ㄨㄢˇ,wǎn,名詞,2,common,ai,word,personal,,evening; night; late
前天,おととい,ㄑㄧㄢˊ ㄊㄧㄢ,qiántiān,名詞,2,common,ai,word,personal,,the day before yesterday
後天,あさって,ㄏㄡˋ ㄊㄧㄢ,hòutiān,名詞,2,common,ai,word,personal,,"the day after tomorrow; life after birth (the period in which one develops through experiences, contrasted with 先天[xian1"
前年,おととし,ㄑㄧㄢˊ ㄋㄧㄢˊ,qiánnián,名詞,2,common,ai,word,personal,,the year before last
後年,再来年,ㄏㄡˋ ㄋㄧㄢˊ,hòunián,名詞,2,common,ai,word,personal,,the year after next
自己,自分,ㄗˋ ㄐㄧˇ,zìjǐ,名詞,2,common,ai,word,personal,,oneself; one's own
它,それ(物・動物),ㄊㄚ,tā,名詞,2,common,ai,word,personal,,it
它們,それら,ㄊㄚ ˙ㄇㄣ,tāmen,名詞,2,common,ai,word,personal,,they; them
最,最も,ㄗㄨㄟˋ,zuì,副詞,2,common,ai,word,personal,,most; the most; -est (superlative suffix)
怕,怖い/恐れる,ㄆㄚˋ,pà,状態動詞,2,common,ai,word,personal,,to be afraid; to fear; to dread
